Elapsed time;Bytes Received per Second;Bytes Sent per Second
01:37:46,0;259.0;90.0
01:37:48,0;259.0;90.0
01:37:50,0;259.0;90.0
01:37:52,0;259.0;90.0
01:37:54,0;259.0;90.0
01:37:56,0;259.0;90.0
01:37:58,0;259.0;90.0
01:38:00,0;259.0;90.0
01:38:02,0;259.0;90.0
01:38:04,0;259.0;90.0
01:38:06,0;259.0;90.0
01:38:08,0;259.0;90.0
01:38:10,0;259.0;90.0
01:38:12,0;259.0;90.0
01:38:14,0;259.0;90.0
01:38:16,0;259.0;90.0
01:38:18,0;259.0;90.0
01:38:20,0;259.0;90.0
01:38:22,0;259.0;90.0
01:38:24,0;259.0;90.0
01:38:26,0;259.0;90.0
01:38:28,0;259.0;90.0
01:38:30,0;259.0;90.0
01:38:32,0;259.0;90.0
01:38:34,0;259.0;90.0
01:38:36,0;259.0;90.0
01:38:38,0;259.0;90.0
01:38:40,0;259.0;90.0
01:38:42,0;259.0;90.0
01:38:44,0;259.0;90.0
01:38:46,0;259.0;90.0
01:38:48,0;259.0;90.0
01:38:50,0;259.0;90.0
01:38:52,0;259.0;90.0
01:38:54,0;259.0;90.0
01:38:56,0;259.0;90.0
01:38:58,0;259.0;90.0
01:39:00,0;259.0;90.0
01:39:02,0;259.0;90.0
01:39:04,0;259.0;90.0
01:39:06,0;259.0;90.0
01:39:08,0;259.0;90.0
01:39:10,0;259.0;90.0
01:39:12,0;259.0;90.0
01:39:14,0;259.0;90.0
01:39:16,0;259.0;90.0
01:39:18,0;259.0;90.0
01:39:20,0;259.0;90.0
01:39:22,0;259.0;90.0
01:39:24,0;259.0;90.0
01:39:26,0;259.0;90.0
01:39:28,0;259.0;90.0
01:39:30,0;259.0;90.0
01:39:32,0;259.0;90.0
01:39:34,0;259.0;90.0
01:39:36,0;259.0;90.0
01:39:38,0;259.0;90.0
01:39:40,0;259.0;90.0
01:39:42,0;259.0;90.0
01:39:44,0;259.0;90.0
01:39:46,0;259.0;90.0
01:39:48,0;259.0;90.0
01:39:50,0;259.0;90.0
01:39:52,0;259.0;90.0
01:39:54,0;259.0;90.0
01:39:56,0;259.0;90.0
01:39:58,0;259.0;90.0
01:40:00,0;259.0;90.0
01:40:02,0;259.0;90.0
01:40:04,0;259.0;90.0
01:40:06,0;259.0;90.0
01:40:08,0;259.0;90.0
01:40:10,0;259.0;90.0
01:40:12,0;259.0;90.0
01:40:14,0;259.0;90.0
01:40:16,0;259.0;90.0
01:40:18,0;259.0;90.0
01:40:20,0;259.0;90.0
01:40:22,0;259.0;90.0
01:40:24,0;259.0;90.0
01:40:26,0;259.0;90.0
01:40:28,0;259.0;90.0
01:40:30,0;259.0;90.0
01:40:32,0;259.0;90.0
01:40:34,0;259.0;90.0
01:40:36,0;259.0;90.0
01:40:38,0;259.0;90.0
01:40:40,0;259.0;90.0
01:40:42,0;259.0;90.0
01:40:44,0;259.0;90.0
01:40:46,0;259.0;90.0
01:40:48,0;259.0;90.0
01:40:50,0;259.0;90.0
01:40:52,0;259.0;90.0
01:40:54,0;259.0;90.0
01:40:56,0;259.0;90.0
01:40:58,0;259.0;90.0
01:41:00,0;259.0;90.0
01:41:02,0;259.0;90.0
01:41:04,0;259.0;90.0
01:41:06,0;259.0;90.0
01:41:08,0;259.0;90.0
01:41:10,0;259.0;90.0
01:41:12,0;259.0;90.0
01:41:14,0;259.0;90.0
01:41:16,0;259.0;90.0
01:41:18,0;259.0;90.0
01:41:20,0;259.0;90.0
01:41:22,0;259.0;90.0
01:41:24,0;259.0;90.0
01:41:26,0;259.0;90.0
01:41:28,0;259.0;90.0
01:41:30,0;259.0;90.0
01:41:32,0;259.0;90.0
01:41:34,0;259.0;90.0
01:41:36,0;259.0;90.0
01:41:38,0;259.0;90.0
01:41:40,0;259.0;90.0
01:41:42,0;259.0;90.0
01:41:44,0;259.0;90.0
01:41:46,0;259.0;90.0
01:41:48,0;259.0;90.0
01:41:50,0;259.0;90.0
01:41:52,0;259.0;90.0
01:41:54,0;259.0;90.0
01:41:56,0;259.0;90.0
01:41:58,0;259.0;90.0
01:42:00,0;259.0;90.0
01:42:02,0;259.0;90.0
01:42:04,0;259.0;90.0
01:42:06,0;259.0;90.0
01:42:08,0;259.0;90.0
01:42:10,0;259.0;90.0
01:42:12,0;259.0;90.0
01:42:14,0;259.0;90.0
01:42:16,0;259.0;90.0
01:42:18,0;259.0;90.0
01:42:20,0;259.0;90.0
01:42:22,0;259.0;90.0
01:42:24,0;259.0;90.0
01:42:26,0;259.0;90.0
01:42:28,0;259.0;90.0
01:42:30,0;259.0;90.0
01:42:32,0;259.0;90.0
01:42:34,0;259.0;90.0
01:42:36,0;259.0;90.0
01:42:38,0;259.0;90.0
01:42:40,0;259.0;90.0
01:42:42,0;259.0;90.0
01:42:44,0;259.0;90.0
01:42:46,0;518.0;180.0
01:42:48,0;518.0;180.0
01:42:50,0;518.0;180.0
01:42:52,0;518.0;180.0
01:42:54,0;518.0;180.0
01:42:56,0;518.0;180.0
01:42:58,0;518.0;180.0
01:43:00,0;518.0;180.0
01:43:02,0;518.0;180.0
01:43:04,0;518.0;180.0
01:43:06,0;518.0;180.0
01:43:08,0;518.0;180.0
01:43:10,0;518.0;180.0
01:43:12,0;518.0;180.0
01:43:14,0;518.0;180.0
01:43:16,0;518.0;180.0
01:43:18,0;518.0;180.0
01:43:20,0;518.0;180.0
01:43:22,0;518.0;180.0
01:43:24,0;518.0;180.0
01:43:26,0;518.0;180.0
01:43:28,0;518.0;180.0
01:43:30,0;518.0;180.0
01:43:32,0;518.0;180.0
01:43:34,0;518.0;180.0
01:43:36,0;518.0;180.0
01:43:38,0;518.0;180.0
01:43:40,0;518.0;180.0
01:43:42,0;518.0;180.0
01:43:44,0;518.0;180.0
01:43:46,0;518.0;180.0
01:43:48,0;518.0;180.0
01:43:50,0;518.0;180.0
01:43:52,0;518.0;180.0
01:43:54,0;518.0;180.0
